dataAbscissa/Depth	Age	dataOrdinate/Value
96.05	23040.8	-1.871
96.1	23044.8	-2.114
96.15	23048.7	-2.327
96.2	23052.6	-2.131
96.25	23056.5	-2.075
96.3	23060.5	-1.172
96.35	23064.4	-2.053
96.45	23072.3	-2.286
96.48	23074.6	-1.96
96.6	23084.1	-1.991
96.65	23088	-2.2
96.67	23089.6	-2.18
96.7	23091.9	-1.859
96.75	23095.9	-2.222
96.8	23099.8	-2.036
96.82	23101.4	-2.2
96.85	23103.7	-2.109
96.95	23111.6	-2.216
97	23115.5	-2.15
97.02	23117.1	-1.93
97.05	23119.5	-1.975
97.1	23123.4	-2.105
97.22	23132.8	-1.98
97.3	23139.1	-1.713
97.35	23143.1	-1.872
97.4	23147	-1.783
97.42	23148.6	-2.05
97.45	23150.9	-1.983
97.5	23154.9	-2.013
97.55	23158.8	-1.764
97.6	23162.7	-2.183
97.65	23166.7	-1.715
97.7	23170.6	-1.486
97.82	23180	-1.58
97.85	23182.4	-1.766
97.9	23186.3	-1.507
98	23194.2	-1.807
98.02	23195.8	-1.77
98.06	23198.9	-1.578
98.15	23206	-1.808
98.32	23219.4	-1.51
98.52	23235.1	-1.8
98.72	23250.8	-1.383
99.12	23282.3	-1.61
99.32	23298	-1.52
99.47	23309.8	-1.59
99.52	23313.7	-1.61
99.67	23325.5	-1.51
100.07	23357	-1.45
100.27	23372.7	-1.46
100.77	23412.1	-1.53
100.97	23427.8	-1.36
101.05	23434.1	-1.41
101.37	23459.2	-1.37
101.4	23461.6	-1.75
101.5	23469.5	-1.351
101.55	23473.4	-1.372
101.57	23475	-1.29
101.65	23481.3	-1.96
101.77	23490.7	-1.68
101.85	23497	-1.801
101.9	23500.9	-1.383
102	23508.8	-1.553
102.1	23516.7	-1.673
102.15	23520.6	-1.464
102.2	23524.5	-1.923
102.22	23526.1	-1.73
102.25	23528.5	-0.927
102.27	23530	-1.63
102.3	23532.4	-1.702
102.35	23536.3	-1.556
102.4	23540.3	-1.42
102.42	23541.8	-1.63
102.45	23544.2	-1.672
102.5	23548.1	-1.755
102.55	23552.1	-1.569
102.6	23556	-1.493
102.63	23558.3	-1.41
102.65	23559.9	-1.225
102.67	23561.5	-1.54
102.7	23563.9	-1.732
102.75	23567.8	-1.576
102.8	23571.7	-1.809
102.82	23573.3	-1.59
102.85	23575.7	-1.902
102.87	23577.2	-1.72
102.9	23579.6	-1.885
102.95	23583.5	-1.47
103	23587.5	-1.254
103.02	23589	-1.68
103.05	23591.4	-1.696
103.07	23593	-1.43
103.1	23595.3	-1.53
103.2	23603.2	-1.683
103.22	23604.8	-1.34
103.25	23607.1	-1.846
103.27	23608.7	-1.75
103.3	23611	-1.67
103.35	23615	-1.892
103.4	23618.9	-2.145
103.42	23620.5	-1.73
103.45	23622.8	-1.6
103.6	23634.6	-1.952
103.65	23638.6	-1.826
103.7	23642.5	-1.69
103.72	23644.1	-1.377
103.75	23646.4	-1.534
103.77	23648	-1.332
103.8	23650.4	-1.739
103.85	23654.3	-1.543
103.9	23658.2	-1.576
103.92	23659.8	-1.56
103.95	23662.2	-1.646
103.97	23663.7	-1.728
104	23666.1	-1.98
104.05	23670	-1.206
104.1	23674	-1.598
104.12	23675.5	-1.49
104.15	23677.9	-1.413
104.17	23679.5	-1.152
104.2	23681.8	-1.036
104.25	23685.8	-1.377
104.3	23689.7	-1.65
104.32	23691.3	-1.929
104.35	23693.6	-1.16
104.37	23695.2	-1.064
104.4	23697.6	-1.754
104.43	23699.9	-1.19
104.45	23701.5	-1.388
104.48	23703.9	-1.115
104.5	23705.4	-1.441
104.52	23707	-1.46
104.53	23707.8	-1.717
104.54	23708.6	-1.185
104.56	23710.1	-1.168
104.58	23711.7	-1.296
104.63	23715.7	-1.183
104.67	23718.8	-1.508
104.68	23719.6	-1.154
104.73	23723.5	-1.048
104.78	23727.5	-1.63
104.83	23731.4	-1.697
104.84	23732.2	-1.4
104.88	23735.3	-1.096
104.93	23739.2	-1.06
104.98	23743.2	-1.384
105.01	23745.5	-1.42
105.03	23747.1	-1.488
105.08	23751	-1.303
105.13	23755	-1.237
105.18	23758.9	-1.441
105.23	23762.8	-1.156
105.28	23766.8	-1.031
105.3	23768.4	-1.43
105.33	23770.7	-1.433
105.38	23774.6	-1.527
105.43	23778.6	-1.242
105.46	23780.9	-1.41
105.48	23782.5	-1.483
105.53	23786.4	-1.326
105.58	23790.4	-1.44
105.63	23794.3	-1.415
105.68	23798.2	-1.728
105.73	23802.2	-1.24
105.79	23806.9	-1.912
105.8	23807.7	-1.47
105.82	23809.3	-1.647
105.87	23813.2	-1.532
105.93	23817.9	-1.555
105.98	23821.8	-1.423
106.03	23825.8	-1.783
106.05	23827.3	-1.41
106.08	23829.7	-1.345
106.13	23833.6	-1.148
106.18	23837.6	-1.731
106.23	23841.5	-1.649
106.3	23847	-1.41
106.33	23849.4	-1.452
106.38	23853.3	-1.298
106.43	23857.2	-1.175
106.48	23861.2	-1.327
106.5	23862.7	-1.42
106.53	23865.1	-1.458
106.58	23869	-1.401
106.63	23873	-1.433
106.68	23876.9	-1.39
106.73	23880.8	-1.422
106.78	23884.8	-1.365
106.8	23886.3	-1.38
106.83	23888.7	-1.626
106.88	23892.6	-1.29
106.93	23896.6	-1.204
106.98	23900.5	-1.571
107.01	23902.8	-1.51
107.03	23904.4	-1.533
107.08	23908.4	-1.389
107.18	23916.2	-1.438
107.2	23917.8	-1.1
107.23	23920.2	-0.962
107.28	23924.1	-1.584
107.3	23925.7	-1.23
107.33	23928	-1.395
107.38	23931.9	-1.239
107.43	23935.9	-1.412
107.48	23939.8	-1.694
107.5	23941.4	-1.51
107.53	23943.7	-1.628
107.58	23947.7	-1.073
107.63	23951.6	-1.416
107.68	23955.5	-1.13
107.73	23959.5	-1.263
107.78	23963.4	-1.277
107.8	23965	-1.14
107.83	23967.3	-1.237
107.88	23971.3	-1.191
107.93	23975.2	-1.224
107.98	23979.1	-1.028
107.99	23979.9	-1.384
108.03	23983.1	-1.381
108.08	23987	-1.354
108.13	23990.9	-1.517
108.18	23994.9	-1.431
108.23	23998.8	-1.245
108.28	24002.7	-1.159
108.33	24006.7	-1.289
108.38	24010.6	-1.133
108.43	24014.5	-1.206
108.48	24018.5	-1.14
108.5	24020	-1.37
108.53	24022.4	-1.084
108.58	24026.3	-1.296
108.63	24030.3	-1.609
108.68	24034.2	-1.562
108.73	24038.1	-1.337
108.8	24043.6	-0.911
108.82	24045.2	-1.41
108.83	24046	-1.445
108.88	24049.9	-1.191
108.93	24053.9	-1.347
108.98	24057.8	-1.333
109.02	24060.9	-1.29
109.03	24061.7	-1.129
109.08	24065.7	-1.224
109.13	24069.6	-1.22
109.18	24073.5	-1.305
109.19	24074.3	-1.46
109.21	24075.9	-1.4
109.23	24077.5	-1.4
109.28	24081.4	-1.685
109.33	24085.3	-1.411
109.38	24089.3	-1.367
109.39	24090	-1.4
109.43	24093.2	-1.473
109.48	24097.1	-1.528
109.53	24101.1	-1.723
109.58	24105	-1.519
109.63	24108.9	-1.256
109.68	24112.8	-1.221
109.73	24116.8	-1.476
109.77	24119.9	-1.52
109.78	24120.7	-1.551
109.8	24122.3	-1.45
109.83	24124.6	-1.806
109.88	24128.6	-1.502
109.93	24132.5	-1.411
109.96	24134.9	-1.61
109.98	24136.4	-1.557
110.03	24140.4	-1.503
