dataAbscissa/Depth	Age	dataOrdinate/Value
10	0	0
10.015	0.00833333	0.454
10.03	0.0166667	0.8089
10.045	0.025	0.9876
10.06	0.0321429	0.9516
10.075	0.0392857	0.7094
10.09	0.0464286	0.3143
10.105	0.0535714	-0.1477
10.12	0.0607143	-0.5771
10.135	0.0678571	-0.8823
10.15	0.075	-0.9997
10.165	0.0821429	-0.906
10.18	0.0892857	-0.6231
10.195	0.0964286	-0.2118
10.21	0.103571	0.2415
10.225	0.110714	0.6436
10.24	0.117857	0.9136
10.255	0.125	0.9995
10.27	0.132143	0.887
10.285	0.139286	0.6015
10.3	0.146429	0.2013
10.315	0.153571	-0.2349
10.33	0.160714	-0.624
10.345	0.167857	-0.8946
10.36	0.175	-0.9995
10.375	0.18125	-0.9234
10.39	0.1875	-0.6841
10.405	0.19375	-0.3274
10.42	0.2	0.0826
10.435	0.20625	0.4751
10.45	0.2125	0.7855
10.465	0.21875	0.9657
10.48	0.225	0.9906
10.495	0.23125	0.8609
10.51	0.2375	0.6012
10.525	0.24375	0.2545
10.54	0.25	-0.1256
10.555	0.25625	-0.4835
10.57	0.2625	-0.7701
10.585	0.26875	-0.9486
10.6	0.275	-0.9991
10.615	0.280556	-0.9198
10.63	0.286111	-0.7256
10.645	0.291667	-0.445
10.66	0.297222	-0.1149
10.675	0.302778	0.2241
10.69	0.308333	0.5332
10.705	0.313889	0.7794
10.72	0.319444	0.9392
10.735	0.325	0.9996
10.75	0.329545	0.9589
10.765	0.334091	0.8257
10.78	0.338636	0.6168
10.795	0.343182	0.355
10.81	0.347727	0.0659
10.825	0.352273	-0.2241
10.84	0.356818	-0.491
10.855	0.361364	-0.7142
10.87	0.365909	-0.8786
10.885	0.370455	-0.9748
10.9	0.375	-0.9991
10.915	0.378846	-0.9535
10.93	0.382692	-0.8447
10.945	0.386538	-0.6831
10.96	0.390385	-0.4815
10.975	0.394231	-0.2545
10.99	0.398077	-0.0167
11.005	0.401923	0.2179
11.02	0.405769	0.4365
11.035	0.409615	0.6285
11.05	0.413462	0.7855
11.065	0.417308	0.9016
11.08	0.421154	0.9733
11.095	0.425	0.9998
11.11	0.427941	0.9822
11.125	0.430882	0.9234
